,"Item","Description","Preferred Vendor","U/M","Albertsons Denver Price"
,"GM34PBT100-AY","810312-023211 / #23211 PRINT V-NECK 3-4 BAND CLR TUNIC",,"EACH (EA)",999.00
,"GM34PVT100-AY","810312-022238 / #22238 PRINT V-NECK 3-4 SL TUNIC",,"EACH (EA)",999.00
,"GM34PWT100-AY","810312-023518 / #23518 PRINT 3-4 WAFFLE KNIT TUNIC",,"EACH (EA)",999.00
,"GM34SPT100-AY","810312-023525 / #23525 SOLID 3-4 PLEAT BACK TUNIC",,"EACH (EA)",999.00
,"GM34SST100-AY","810312-023310 / #23310 SUPER SOFT 3-4 V SLV TUNIC",,"EACH (EA)",999.00
,"GM34SVT100-AY","810312-022450 / #22450 SOLID V-NECK 3-4 SL TUNIC",,"EACH (EA)",999.00
,"GMAFFM101-AY","810312-023181 / #23181 ADULT FABRIC FACE MASK (96 EA)",,"EACH (EA)",999.00
,"GMAFFM102-AY","810312-023181 / #23181 ADULT FABRIC FACE MASK (192 EA)",,"EACH (EA)",999.00
,"GMAFS100-FW","810312-021651 / #21651 ANTI-SLIP FUZZY SOCKS (2PK)",,"EACH (EA)",999.00
,"GMAKH1000-FW","810312-020050 / #20050 ADORABLE KNITTED HAT (EA)",,"EACH (EA)",999.00
,"GMASTB10-SS","810312-021323 / #21323 ANGEL SL. TIE BLOUSE (EA)",,"EACH (EA)",999.00
,"GMATB1000-SS","810312-020067 / #20067 ADJUSTABLE TIE BLOUSE (EA)",,"EACH (EA)",999.00
,"GMAW1000-FW","810312-020319 / #20319 FASHION ARM WARMER",,"EACH (EA)",999.00
,"GMBA100-AY","810312-023174 / #23174 BANDANA (3 PACK)",,"EACH (EA)",999.00
,"GMBBKHT100-FW","810312-021637 / #21637 KEY HOLE BUTTON TUNIC",,"EACH (EA)",999.00
,"GMBFL101-FW","810312-021071 / #21071 BROCADE FLEECE LEGGINGS",,"EACH (EA)",999.00
,"GMBS12000-SS","094088-290088 / #90088 BURNOUT SHIRT",,"EACH (EA)",999.00
,"GMBSD100-AY","810312-023426 / #23426 BUBBLE SLEEVE DUSTER",,"EACH (EA)",999.00
,"GMBST1000-FW","810312-020548 / #20548 BELL SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMBST3000-FW","810312-021248 / #21248 BUTTON SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMCAST100-SS","810312-022191 / #22191 CROCHET ACCENT SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMCBTT100-FW","810312-021231 / #21231 CROSS-BACK TIE TUNIC",,"EACH (EA)",999.00
,"GMCC105-AY","810312-021606 / #21606 CHARGING CABLE - ANDROID - 4FT",,"EACH (EA)",999.00
,"GMCC110-AY","810312-021613 / #21613 CHARGING CABLE - IPAD/IPHONE - 4FT",,"EACH (EA)",999.00
,"GMCHT100-SS","810312-021446 / #21446 CROSSOVER HEM TUNIC",,"EACH (EA)",999.00
,"GMCMSD1000-SS","810312-020487 / #20487 CNVRTBLE MAXI SKIRT DRESS",,"EACH (EA)",999.00
