Item,Description,Preferred Vendor,U/M,Albertsons Intermountain Price,upc,style,display size,season
GM34PBT100-AY,810312-023211 / #23211 PRINT V-NECK 3-4 BAND CLR TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,AY
GM34PVT100-AY,810312-022238 / #22238 PRINT V-NECK 3-4 SL TUNIC,,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,AY
GM34PWT100-AY,810312-023518 / #23518 PRINT 3-4 WAFFLE KNIT TUNIC,,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,AY
GM34SPT100-AY,810312-023525 / #23525 SOLID 3-4 PLEAT BACK TUNIC,,EACH (EA),999,8.10312E+11,Mix,Long Hanging Top,AY
GM34SST100-AY,810312-023310 / #23310 SUPER SOFT 3-4 V SLV TUNIC,,EACH (EA),999,8.10312E+11,Printed,Carded,AY
GM34SVT100-AY,810312-022450 / #22450 SOLID V-NECK 3-4 SL TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,AY
GMAFFM101-AY,810312-023181 / #23181 ADULT FABRIC FACE MASK (96 EA),,EACH (EA),999,8.10312E+11,0,Carded,AY
GMAFFM102-AY,810312-023181 / #23181 ADULT FABRIC FACE MASK (192 EA),,EACH (EA),999,8.10312E+11,0,Carded,AY
GMAFS100-FW,810312-021651 / #21651 ANTI-SLIP FUZZY SOCKS (2PK),,EACH (EA),2.3,8.10312E+11,Printed,Carded,FW
GMAKH1000-FW,810312-020050 / #20050 ADORABLE KNITTED HAT (EA),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMASTB10-SS,810312-021323 / #21323 ANGEL SL. TIE BLOUSE (EA),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMATB1000-SS,810312-020067 / #20067 ADJUSTABLE TIE BLOUSE (EA),,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMAW1000-FW,810312-020319 / #20319 FASHION ARM WARMER,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMBA100-AY,810312-023174 / #23174 BANDANA (3 PACK),,EACH (EA),999,8.10312E+11,0,Carded,AY
GMBBKHT100-FW,810312-021637 / #21637 KEY HOLE BUTTON TUNIC,,EACH (EA),7.5,8.10312E+11,Solid,Long Hanging Top,FW
GMBFL101-FW,810312-021071 / #21071 BROCADE FLEECE LEGGINGS,,EACH (EA),999,8.10312E+11,Solid,Carded,FW
GMBS12000-SS,094088-290088 / #90088 BURNOUT SHIRT,,EACH (EA),999,94088290088,#N/A,#N/A,#N/A
GMBSD100-AY,810312-023426 / #23426 BUBBLE SLEEVE DUSTER,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,AY
GMBST1000-FW,810312-020548 / #20548 BELL SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
GMBST3000-FW,810312-021248 / #21248 BUTTON SLEEVE TUNIC,,EACH (EA),7,8.10312E+11,Printed,Long Hanging Top,FW
GMCAST100-SS,810312-022191 / #22191 CROCHET ACCENT SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
GMCBTT100-FW,810312-021231 / #21231 CROSS-BACK TIE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
GMCC105-AY,810312-021606 / #21606 CHARGING CABLE - ANDROID - 4FT,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMCC110-AY,810312-021613 / #21613 CHARGING CABLE - IPAD/IPHONE - 4FT,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMCHT100-SS,810312-021446 / #21446 CROSSOVER HEM TUNIC,,EACH (EA),7,8.10312E+11,Solid,Long Hanging Top,SS
GMCMSD1000-SS,810312-020487 / #20487 CNVRTBLE MAXI SKIRT DRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMCNT100-SS,810312-021163 / #21163 CROCHET NECKLINE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
GMCP100-FW,810312-021644 / #21644 CORDUROY PANTS,,EACH (EA),999,8.10312E+11,Solid,Carded,FW
GMCS10001-FW,094088-103043 / #03043 CRINKLED SCARF - HEAVY WEIGHT,,EACH (EA),999,94088103043,#N/A,#N/A,#N/A
GMCSSL100-SS,810312-021309 / #21309 PRINT CAPRI S. SOFT LEGNG,,EACH (EA),999,8.10312E+11,Printed,Carded,SS
GMCSSL110-SS,810312-021293 / #21293 SOLID CAPRI S. SOFT LEGNG,,EACH (EA),999,8.10312E+11,Solid,Carded,SS
GMCST10-SS,810312-022184 / #22184 COLD SHOULDER TUNIC,,EACH (EA),7,8.10312E+11,Printed,Long Hanging Top,SS
GMCT1000-SS,810312-020326 / #20326 CHILL TOWEL - EA,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMDFM100-AY,810312-023167 / #23167 DISP FACE MASK (40 BOXES),,EACH (EA),999,8.10312E+11,0,Carded,AY
GMDFM101-AY,810312-023167 / #23167 DISP FACE MASK (48 BOXES),,EACH (EA),999,8.10312E+11,0,Carded,AY
GMDGPSSL10-AY,810312-022160 / #22160 DG PRINT SUPER SOFT LEGGING,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMDJ100-AY,810312-021118 / #21118 DENIM JEGGING-SOLID,,EACH (EA),7.75,8.10312E+11,Solid,Carded,AY
GMDLST1000-FW,810312-020975 / #20975 DOUBLE LACE SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,FW
GMDTT100-SS,810312-021330 / #21330 DRAWSTRING TIE TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMFBT1100-FW,810312-020685 / #20685 FLARE BOTTOM TUNIC,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,FW
GMFD100-SS,810312-020760 / #20760 FRINGE DRESS - SOLID,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Dress,SS
GMFI210-AY,810312-020937 / #20937 FIRE & ICE-20 OZ TUMBLER W/BOX-(24/CS),,EACH (EA),999,8.10312E+11,0,Display Box,AY
GMFI215-AY,810312-020944 / #20944 FIRE & ICE-30 OZ TUMBLER W/BOX-(24/CS),,EACH (EA),999,8.10312E+11,0,Display Box,AY
GMFIS1000-FW,810312-020449 / #20449 FASHION INFINITY SCARF,,EACH (EA),999,8.10312E+11,Printed,Carded,FW
GMFIS1010-FW,810312-020432 / #20432 FRINGE INFINITY SCARF,,EACH (EA),999,8.10312E+11,Solid,Carded,FW
GMFL1000-AY,810312-020494 / #20494 FASHION LANYARD,,EACH (EA),999,8.10312E+11,0,Display Box,AY
GMFL1020-AY,LANYARD DISPLAYER,,EACH (EA),999,LANYARD DISPL,#N/A,#N/A,#N/A
GMFLT100-SS,810312-021187 / #21187 FULL LACE TUNIC,,EACH (EA),7.75,8.10312E+11,Solid,Long Hanging Top,SS
GMFS10030-SS,810312-020258 / #20258 FASHION SUNDRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMFS10040-SS,810312-024300 / #24300 FASHION SUNDRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMFS10050-SS,810312-020562 / #20562 FASH SUNDRESS - SHORT SLV,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMFS10060-SS,810312-020623 / #20623 SURPLICE SUNDRESS,,EACH (EA),5.75,8.10312E+11,Printed,Long Hanging Dress,SS
GMFS10070-SS,810312-020838 / #20838 JUNIORS FASHION SUNDRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMFT1000-AY,810312-020241 / #20241 FUNNY TEEZ,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMFTG100-FW,810312-020500 / #20500 FLIP-TOP GLOVE,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMG100-AY,GOGGLES,,EACH (EA),999,GOGGLES,#N/A,#N/A,#N/A
