,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"ALBERTSONS SAFEWAY",,,,,,,,,,,""
"ACME MARKETS",,,,,,,,,,,""
"ACM1054",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523883","810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1054","LIPHHT101-FW (810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259))",-19,,8.00,-152.00,-152.00
,"Credit Memo","10/16/2022","523883","810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1054","LIPHHT102-FW (810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259))",-1,,8.00,-8.00,-160.00
,"Credit Memo","10/16/2022","523883","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1054","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",-2,,10.50,-21.00,-181.00
,"Credit Memo","10/16/2022","523883","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1054","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",-6,,10.50,-63.00,-244.00
,"Credit Memo","10/16/2022","523883","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1054","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",-1,,10.50,-10.50,-254.50
,"Invoice","10/20/2022","524346","810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1054","GMHRAL100-AY (810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS)",48,"EA",8.00,384.00,129.50
"Total ACM1054",,,,,,,19,,,129.50,129.50
"ACM1065",,,,,,,,,,,""
,"Invoice","10/14/2022","523870","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1065","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/14/2022","523870","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1065","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/14/2022","523870","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1065","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total ACM1065",,,,,,,48,,,206.40,206.40
"ACM1083",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523884","810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1083","LIPHHT101-FW (810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259))",-22,,8.00,-176.00,-176.00
,"Credit Memo","10/16/2022","523884","810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1083","LIPHHT102-FW (810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259))",-3,,8.00,-24.00,-200.00
"Total ACM1083",,,,,,,-25,,,-200.00,-200.00
"ACM1092",,,,,,,,,,,""
,"Invoice","10/14/2022","523867","810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1092","GMHRAL100-AY (810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS)",48,"EA",8.00,384.00,384.00
"Total ACM1092",,,,,,,48,,,384.00,384.00
"ACM1099",,,,,,,,,,,""
,"Invoice","10/20/2022","524347","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1099","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/20/2022","524347","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1099","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/20/2022","524347","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1099","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total ACM1099",,,,,,,48,,,206.40,206.40
"ACM1582",,,,,,,,,,,""
,"Invoice","10/14/2022","523869","810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1582","GMHRAL100-AY (810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS)",48,"EA",8.00,384.00,384.00
"Total ACM1582",,,,,,,48,,,384.00,384.00
"ACM1725",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523885","810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1725","LIPHHT101-FW (810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259))",-12,,8.00,-96.00,-96.00
"Total ACM1725",,,,,,,-12,,,-96.00,-96.00
"ACM1782",,,,,,,,,,,""
,"Invoice","11/01/2022","527131","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1782","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","11/01/2022","527131","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1782","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","11/01/2022","527131","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1782","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total ACM1782",,,,,,,40,,,420.00,420.00
"ACM1851",,,,,,,,,,,""
,"Invoice","10/14/2022","523873","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1851","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/14/2022","523873","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1851","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/14/2022","523873","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM1851","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total ACM1851",,,,,,,48,,,206.40,206.40
"ACM192",,,,,,,,,,,""
,"Invoice","10/20/2022","524345","810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS","ALBERTSONS SAFEWAY:ACME MARKETS:ACM192","GMHRAL100-AY (810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS)",48,"EA",8.00,384.00,384.00
"Total ACM192",,,,,,,48,,,384.00,384.00
"ACM2428",,,,,,,,,,,""
,"Invoice","10/14/2022","523860","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM2428","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","10/14/2022","523860","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM2428","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","10/14/2022","523860","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM2428","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total ACM2428",,,,,,,40,,,420.00,420.00
"ACM2675",,,,,,,,,,,""
,"Invoice","10/14/2022","523865","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM2675","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,73.10
,"Invoice","10/14/2022","523865","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","ALBERTSONS SAFEWAY:ACME MARKETS:ACM2675","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,189.20
