,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"KROGER CORPORATE",,,,,,,,,,,""
"KROGER CENTRAL",,,,,,,,,,,""
"KROCE425",,,,,,,,,,,""
,"Invoice","10/03/2022","522653","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE425","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/03/2022","522653","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE425","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/03/2022","522653","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE425","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total KROCE425",,,,,,,48,,,206.40,206.40
"KROCE710",,,,,,,,,,,""
,"Invoice","10/10/2022","523370","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE710","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/10/2022","523370","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE710","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/10/2022","523370","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE710","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
,"Invoice","11/01/2022","527105","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER CENTRAL:KROCE710","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,355.90
,"Invoice","11/01/2022","527105","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER CENTRAL:KROCE710","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,620.40
,"Invoice","11/01/2022","527105","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER CENTRAL:KROCE710","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,666.40
"Total KROCE710",,,,,,,88,,,666.40,666.40
"KROCE869",,,,,,,,,,,""
,"Invoice","10/03/2022","522654","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE869","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/03/2022","522654","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE869","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/03/2022","522654","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE869","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total KROCE869",,,,,,,48,,,206.40,206.40
"KROCE874",,,,,,,,,,,""
,"Invoice","10/03/2022","522652","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE874","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/03/2022","522652","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE874","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/03/2022","522652","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE874","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
,"Invoice","10/10/2022","523367","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KROGER CORPORATE:KROGER CENTRAL:KROCE874","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,279.50
,"Invoice","10/10/2022","523367","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KROGER CORPORATE:KROGER CENTRAL:KROCE874","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,395.60
,"Invoice","10/10/2022","523367","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KROGER CORPORATE:KROGER CENTRAL:KROCE874","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,412.80
"Total KROCE874",,,,,,,96,,,412.80,412.80
"KROCE879",,,,,,,,,,,""
,"Invoice","10/10/2022","523371","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE879","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/10/2022","523371","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE879","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/10/2022","523371","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER CENTRAL:KROCE879","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
