,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"KROGER CORPORATE",,,,,,,,,,,""
"KROGER CINCINNATI",,,,,,,,,,,""
"KROCI335",,,,,,,,,,,""
,"Invoice","10/03/2022","522647","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER CINCINNATI:KROCI335","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/03/2022","522647","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER CINCINNATI:KROCI335","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/03/2022","522647","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER CINCINNATI:KROCI335","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total KROCI335",,,,,,,48,,,206.40,206.40
"KROCI336",,,,,,,,,,,""
,"Invoice","10/17/2022","524015","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KROGER CORPORATE:KROGER CINCINNATI:KROCI336","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","10/17/2022","524015","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KROGER CORPORATE:KROGER CINCINNATI:KROCI336","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
,"Invoice","10/17/2022","524015","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KROGER CORPORATE:KROGER CINCINNATI:KROCI336","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,420.00
"Total KROCI336",,,,,,,40,,,420.00,420.00
"KROCI353",,,,,,,,,,,""
,"Invoice","10/17/2022","524018","810312-023846 / #23846 PRINTED JEGGING S-M (J4660)","KROGER CORPORATE:KROGER CINCINNATI:KROCI353","LIPDJ301-AY (810312-023846 / #23846 PRINTED JEGGING S-M (J4660))",13,"EA",10.50,136.50,136.50
,"Invoice","10/17/2022","524018","810312-023853/ #23853 PRINTED JEGGING L-XL (J4660)","KROGER CORPORATE:KROGER CINCINNATI:KROCI353","LIPDJ302-AY (810312-023853/ #23853 PRINTED JEGGING L-XL (J4660))",23,"EA",10.50,241.50,378.00
,"Invoice","10/17/2022","524018","810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660)","KROGER CORPORATE:KROGER CINCINNATI:KROCI353","LIPDJ303-AY (810312-023860/ #23860 PRINTED JEGGING 2XL-3XL (J4660))",4,"EA",10.50,42.00,420.00
,"Invoice","11/07/2022","527939","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KROGER CORPORATE:KROGER CINCINNATI:KROCI353","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,556.50
,"Invoice","11/07/2022","527939","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KROGER CORPORATE:KROGER CINCINNATI:KROCI353","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,798.00
,"Invoice","11/07/2022","527939","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KROGER CORPORATE:KROGER CINCINNATI:KROCI353","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,840.00
"Total KROCI353",,,,,,,80,,,840.00,840.00
"KROCI361",,,,,,,,,,,""
,"Invoice","11/01/2022","527102","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER CINCINNATI:KROCI361","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","11/01/2022","527102","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER CINCINNATI:KROCI361","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","11/01/2022","527102","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER CINCINNATI:KROCI361","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total KROCI361",,,,,,,48,,,206.40,206.40
"KROCI367",,,,,,,,,,,""
,"Invoice","10/10/2022","523339","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER CINCINNATI:KROCI367","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","10/10/2022","523339","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER CINCINNATI:KROCI367","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","10/10/2022","523339","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER CINCINNATI:KROCI367","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total KROCI367",,,,,,,48,,,206.40,206.40
"KROCI383",,,,,,,,,,,""
,"Invoice","10/17/2022","524016","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KROGER CORPORATE:KROGER CINCINNATI:KROCI383","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,136.50
,"Invoice","10/17/2022","524016","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KROGER CORPORATE:KROGER CINCINNATI:KROCI383","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,378.00
