,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"KROGER CORPORATE",,,,,,,,,,,""
"KROGER DALLAS",,,,,,,,,,,""
"KRODA533",,,,,,,,,,,""
,"Invoice","10/17/2022","523952","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KROGER CORPORATE:KROGER DALLAS:KRODA533","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,73.10
,"Invoice","10/17/2022","523952","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KROGER CORPORATE:KROGER DALLAS:KRODA533","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,189.20
,"Invoice","10/17/2022","523952","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KROGER CORPORATE:KROGER DALLAS:KRODA533","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,206.40
,"Invoice","10/17/2022","523952","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA533","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,355.90
,"Invoice","10/17/2022","523952","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA533","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,620.40
,"Invoice","10/17/2022","523952","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA533","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,666.40
"Total KRODA533",,,,,,,88,,,666.40,666.40
"KRODA561",,,,,,,,,,,""
,"Invoice","11/07/2022","528002","810312-023594 / #23594 CAPRI JEAN JEGGING S-XL (J9431)","KROGER CORPORATE:KROGER DALLAS:KRODA561","LICJJ101-AY (810312-023594 / #23594 CAPRI JEAN JEGGING S-XL (J9431))",36,"EA",11.50,414.00,414.00
,"Invoice","11/07/2022","528002","810312-023631 / #23631 CAPRI JEAN JEGGING 2XL-3XL (J9431)","KROGER CORPORATE:KROGER DALLAS:KRODA561","LICJJ102-AY (810312-023631 / #23631 CAPRI JEAN JEGGING 2XL-3XL (J9431))",4,"EA",11.50,46.00,460.00
"Total KRODA561",,,,,,,40,,,460.00,460.00
"KRODA565",,,,,,,,,,,""
,"Invoice","10/17/2022","523953","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA565","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,149.50
,"Invoice","10/17/2022","523953","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA565","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,414.00
,"Invoice","10/17/2022","523953","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA565","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,460.00
,"Invoice","11/07/2022","528001","810312-023594 / #23594 CAPRI JEAN JEGGING S-XL (J9431)","KROGER CORPORATE:KROGER DALLAS:KRODA565","LICJJ101-AY (810312-023594 / #23594 CAPRI JEAN JEGGING S-XL (J9431))",36,"EA",11.50,414.00,874.00
,"Invoice","11/07/2022","528001","810312-023631 / #23631 CAPRI JEAN JEGGING 2XL-3XL (J9431)","KROGER CORPORATE:KROGER DALLAS:KRODA565","LICJJ102-AY (810312-023631 / #23631 CAPRI JEAN JEGGING 2XL-3XL (J9431))",4,"EA",11.50,46.00,920.00
"Total KRODA565",,,,,,,80,,,920.00,920.00
"KRODA578",,,,,,,,,,,""
,"Invoice","11/07/2022","527998","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER DALLAS:KRODA578","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,73.10
,"Invoice","11/07/2022","527998","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER DALLAS:KRODA578","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,189.20
,"Invoice","11/07/2022","527998","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER DALLAS:KRODA578","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,206.40
"Total KRODA578",,,,,,,48,,,206.40,206.40
"KRODA579",,,,,,,,,,,""
,"Invoice","10/17/2022","523954","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA579","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,149.50
,"Invoice","10/17/2022","523954","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA579","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,414.00
,"Invoice","10/17/2022","523954","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA579","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,460.00
"Total KRODA579",,,,,,,40,,,460.00,460.00
"KRODA580",,,,,,,,,,,""
,"Invoice","10/17/2022","523955","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA580","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,149.50
,"Invoice","10/17/2022","523955","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA580","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,414.00
,"Invoice","10/17/2022","523955","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA580","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,460.00
"Total KRODA580",,,,,,,40,,,460.00,460.00
"KRODA589",,,,,,,,,,,""
,"Invoice","10/17/2022","523956","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA589","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,149.50
,"Invoice","10/17/2022","523956","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA589","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,414.00
,"Invoice","10/17/2022","523956","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA589","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,460.00
"Total KRODA589",,,,,,,40,,,460.00,460.00
"KRODA591",,,,,,,,,,,""
,"Invoice","10/24/2022","524472","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA591","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,149.50
,"Invoice","10/24/2022","524472","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA591","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,414.00
,"Invoice","10/24/2022","524472","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA591","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,460.00
"Total KRODA591",,,,,,,40,,,460.00,460.00
"KRODA592",,,,,,,,,,,""
,"Invoice","10/17/2022","523957","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA592","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,149.50
,"Invoice","10/17/2022","523957","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA592","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,414.00
,"Invoice","10/17/2022","523957","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA592","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,460.00
"Total KRODA592",,,,,,,40,,,460.00,460.00
"KRODA594",,,,,,,,,,,""
,"Invoice","10/17/2022","523958","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA594","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,149.50
,"Invoice","10/17/2022","523958","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA594","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,414.00
,"Invoice","10/17/2022","523958","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA594","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,460.00
,"Invoice","10/24/2022","524474","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER DALLAS:KRODA594","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,533.10
,"Invoice","10/24/2022","524474","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER DALLAS:KRODA594","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,649.20
,"Invoice","10/24/2022","524474","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER DALLAS:KRODA594","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,666.40
"Total KRODA594",,,,,,,88,,,666.40,666.40
"KRODA596",,,,,,,,,,,""
,"Invoice","10/17/2022","523959","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA596","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,149.50
,"Invoice","10/17/2022","523959","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA596","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,414.00
,"Invoice","10/17/2022","523959","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","KROGER CORPORATE:KROGER DALLAS:KRODA596","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,460.00
