,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"FOLLETT",,,,,,,,,,,""
"FOL1006 (EI)",,,,,,,,,,,""
,"Invoice","07/01/2022","503063","WINWIN LILDY SMALL RACK PROGRAM:        PLEASE SEE PLANOGRAM FOR SETUP INSTRUCTIONS.     WinWin ...","FOLLETT:FOL1006 (EI)","N3-Standard (WINWIN LILDY SMALL RACK PROGRAM:        PLEASE SEE PLANOGRAM FOR SETUP INSTRUCTIONS...",1,,0.00,0.00,0.00
,"Invoice","07/01/2022","503063","POG: FW22-2W","FOLLETT:FOL1006 (EI)","POGFW22-2W (POG: FW22-2W)",1,"EA",0.00,0.00,0.00
,"Invoice","07/01/2022","503063","810312-021545 / #21545 1-2 WAY RACK","FOLLETT:FOL1006 (EI)","GMRA10225-AY (810312-021545 / #21545 1-2 WAY RACK)",1,"EA",0.01,0.01,0.01
,"Invoice","07/01/2022","503063","LEGGINGS & JEGGINGS PRICE SIGN","FOLLETT:FOL1006 (EI)","SSL/JEGGING SIGN (LEGGINGS & JEGGINGS PRICE SIGN)",1,"EA",0.00,0.00,0.01
,"Invoice","07/01/2022","503063","810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS","FOLLETT:FOL1006 (EI)","GMHRAL100-AY (810312-023235 / #23235 HIGH RISE ATHLETIC LEGGINGS)",48,"EA",7.50,360.00,360.01
,"Invoice","07/01/2022","503063","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","FOLLETT:FOL1006 (EI)","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,428.01
,"Invoice","07/01/2022","503063","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","FOLLETT:FOL1006 (EI)","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,536.01
,"Invoice","07/01/2022","503063","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","FOLLETT:FOL1006 (EI)","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,552.01
,"Invoice","07/01/2022","503063","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","FOLLETT:FOL1006 (EI)","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,620.01
,"Invoice","07/01/2022","503063","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","FOLLETT:FOL1006 (EI)","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,728.01
,"Invoice","07/01/2022","503063","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","FOLLETT:FOL1006 (EI)","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,744.01
,"Invoice","07/01/2022","503063","810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539)","FOLLETT:FOL1006 (EI)","LISJJ101-AY (810312-023815 / #23815 SOLID JEAN JEGGING S-M (J1539))",13,"EA",11.50,149.50,893.51
,"Invoice","07/01/2022","503063","810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539)","FOLLETT:FOL1006 (EI)","LISJJ102-AY (810312-023822 / #23822 SOLID JEAN JEGGING L-XL (J1539))",23,"EA",11.50,264.50,1158.01
,"Invoice","07/01/2022","503063","810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539)","FOLLETT:FOL1006 (EI)","LISJJ103-AY (810312-023839 / #23839 SOLID JEAN JEGGING 2XL-3XL (J1539))",4,"EA",11.50,46.00,1204.01
"Total FOL1006 (EI)",,,,,,,188,,,1204.01,1204.01
