,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"FRESH ENCOUNTER, INC.",,,,,,,,,,,""
"FRE102 (EI)",,,,,,,,,,,""
,"Invoice","11/01/2022","527153","810312-023754 / #23754 PRINTED PLUSH PANTS","FRESH ENCOUNTER, INC.:FRE102 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
"Total FRE102 (EI)",,,,,,,36,,,252.00,252.00
"FRE106 (EI)",,,,,,,,,,,""
,"Invoice","11/01/2022","527145","810312-023754 / #23754 PRINTED PLUSH PANTS","FRESH ENCOUNTER, INC.:FRE106 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
"Total FRE106 (EI)",,,,,,,36,,,252.00,252.00
"FRE114 (EI)",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523924","810312-021255 / #21255 SWEATER VEST - PRINTED","FRESH ENCOUNTER, INC.:FRE114 (EI)","GMPSV1000-FW (810312-021255 / #21255 SWEATER VEST - PRINTED)",-19,,7.75,-147.25,-147.25
"Total FRE114 (EI)",,,,,,,-19,,,-147.25,-147.25
"FRE115 (EI)",,,,,,,,,,,""
,"Invoice","11/01/2022","527137","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","FRESH ENCOUNTER, INC.:FRE115 (EI)","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","11/01/2022","527137","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","FRESH ENCOUNTER, INC.:FRE115 (EI)","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
,"Invoice","11/01/2022","527137","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","FRESH ENCOUNTER, INC.:FRE115 (EI)","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,192.00
,"Invoice","11/08/2022","528045","810312-023754 / #23754 PRINTED PLUSH PANTS","FRESH ENCOUNTER, INC.:FRE115 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,444.00
"Total FRE115 (EI)",,,,,,,84,,,444.00,444.00
"FRE240 (EI)",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523925","810312-021194 / #21194 SLIT ACCENT PANTS","FRESH ENCOUNTER, INC.:FRE240 (EI)","GMSAT100-SS (810312-021194 / #21194 SLIT ACCENT PANTS)",-2,,6.00,-12.00,-12.00
,"Credit Memo","10/16/2022","523925","810312-022214 / #22214 SLIT MAXI SKIRT","FRESH ENCOUNTER, INC.:FRE240 (EI)","GMSMS100-SS (810312-022214 / #22214 SLIT MAXI SKIRT)",-1,,7.00,-7.00,-19.00
,"Credit Memo","10/16/2022","523925","810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259)","FRESH ENCOUNTER, INC.:FRE240 (EI)","LIPHHT101-FW (810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259))",-20,,8.00,-160.00,-179.00
,"Credit Memo","10/16/2022","523925","810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259)","FRESH ENCOUNTER, INC.:FRE240 (EI)","LIPHHT102-FW (810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259))",-3,,8.00,-24.00,-203.00
,"Credit Memo","10/16/2022","523925","810312-023266 / #23266 PLUSH KNIT TUNIC S-XL (T6673)","FRESH ENCOUNTER, INC.:FRE240 (EI)","LIPKT101-FW (810312-023266 / #23266 PLUSH KNIT TUNIC S-XL (T6673))",-3,,9.00,-27.00,-230.00
,"Credit Memo","10/16/2022","523925","810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259)","FRESH ENCOUNTER, INC.:FRE240 (EI)","LIPHHT101-FW (810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259))",-13,,8.00,-104.00,-334.00
,"Credit Memo","10/16/2022","523925","810312-021255 / #21255 SWEATER VEST - PRINTED","FRESH ENCOUNTER, INC.:FRE240 (EI)","GMPSV1000-FW (810312-021255 / #21255 SWEATER VEST - PRINTED)",-3,,7.75,-23.25,-357.25
,"Credit Memo","10/16/2022","523925","810312-021279 / #21279 LONG SLEEVE THERMAL TOP","FRESH ENCOUNTER, INC.:FRE240 (EI)","GMLSTT100-FW (810312-021279 / #21279 LONG SLEEVE THERMAL TOP)",-3,,4.75,-14.25,-371.50
,"Credit Memo","10/16/2022","523925","810312-022580 / #22580 LONG SLEEVE THERMAL TOP L-XL (T7997)","FRESH ENCOUNTER, INC.:FRE240 (EI)","LILSTT202-FW (810312-022580 / #22580 LONG SLEEVE THERMAL TOP L-XL (T7997))",-4,,4.75,-19.00,-390.50
"Total FRE240 (EI)",,,,,,,-52,,,-390.50,-390.50
"FRE330 (EI)",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523926","810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259)","FRESH ENCOUNTER, INC.:FRE330 (EI)","LIPHHT101-FW (810312-023242 / #23242 PRINTED HNKERCHF HEM TUNIC S-XL (T4259))",-29,,8.00,-232.00,-232.00
,"Credit Memo","10/16/2022","523926","810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259)","FRESH ENCOUNTER, INC.:FRE330 (EI)","LIPHHT102-FW (810312-023259 / #23259 PRINTED HNKERCHF HEM TUNIC 2XL-3XL (T4259))",-3,,8.00,-24.00,-256.00
,"Credit Memo","10/16/2022","523926","810312-021712 / #21712 SOLID POCKET SWING TUNIC S-XL (T1289)","FRESH ENCOUNTER, INC.:FRE330 (EI)","LISPST201-FW (810312-021712 / #21712 SOLID POCKET SWING TUNIC S-XL (T1289))",-14,,8.00,-112.00,-368.00
