,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"ALBERTSONS SAFEWAY",,,,,,,,,,,""
"INTERMOUNTAIN DIVISION",,,,,,,,,,,""
"ALBIM1010",,,,,,,,,,,""
,"Invoice","10/04/2022","522821","810312-023228 / #23228 SOLID WAFFLE KNIT TUNIC","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1010","GMSWKT100-FW (810312-023228 / #23228 SOLID WAFFLE KNIT TUNIC)",36,"EA",8.50,306.00,306.00
,"Invoice","10/04/2022","522821","810312-023754 / #23754 PRINTED PLUSH PANTS","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1010","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,558.00
,"Invoice","10/04/2022","522821","810312-021651 / #21651 ANTI-SLIP FUZZY SOCKS (2PK)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1010","GMAFS100-FW (810312-021651 / #21651 ANTI-SLIP FUZZY SOCKS (2PK))",72,"EA",2.30,165.60,723.60
,"Invoice","10/04/2022","522821","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1010","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,796.70
,"Invoice","10/04/2022","522821","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1010","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,912.80
,"Invoice","10/04/2022","522821","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1010","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,930.00
,"Invoice","10/04/2022","522821","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","ALBERTSONS SAFEWAY:INTERMOUNTAIN DIVISION:ALBIM1010","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,1003.10
