,"On Hand","U/M","Avg Cost","Asset Value","% of Tot Asset","Sales Price","Retail Value","% of Tot Retail"
"Inventory",,,,,,,,
"GM34PBT100-AY (810312-023211 / #23211 PRINT V-NECK 3-4 BAND CLR TUNIC)",0,"EA",4.00,0.00,0%,999.00,0.00,0%
"GM34PVT100-AY (810312-022238 / #22238 PRINT V-NECK 3-4 SL TUNIC)",0,"EA",4.00,0.00,0%,999.00,0.00,0%
"GM34PWT100-AY (810312-023518 / #23518 PRINT 3-4 WAFFLE KNIT TUNIC)",36,"EA",4.00,144.00,0%,999.00,35964.00,0%
"GM34SPT100-AY (810312-023525 / #23525 SOLID 3-4 PLEAT BACK TUNIC)",0,"EA",4.00,0.00,0%,999.00,0.00,0%
"GM34SST100-AY (810312-023310 / #23310 SUPER SOFT 3-4 V SLV TUNIC)",0,"EA",3.56,0.00,0%,999.00,0.00,0%
"GM34SVT100-AY (810312-022450 / #22450 SOLID V-NECK 3-4 SL TUNIC)",0,"EA",4.00,0.00,0%,999.00,0.00,0%
"GMAFFM101-AY (810312-023181 / #23181 ADULT FABRIC FACE MASK (96 EA))",0,"EA",0.58,0.00,0%,999.00,0.00,0%
"GMAFFM102-AY (810312-023181 / #23181 ADULT FABRIC FACE MASK (192 EA))",0,"EA",0.64,0.00,0%,999.00,0.00,0%
"GMAFS100-FW (810312-021651 / #21651 ANTI-SLIP FUZZY SOCKS (2PK))",76104,"EA",0.97,73517.84,0.5%,999.00,76027896.00,1.5%
"GMAKH1000-FW (810312-020050 / #20050 ADORABLE KNITTED HAT (EA))",5823,"EA",1.91,11101.78,0.1%,999.00,5817177.00,0.1%
"GMASTB10-SS (810312-021323 / #21323 ANGEL SL. TIE BLOUSE (EA))",3072,"EA",2.35,7223.30,0%,999.00,3068928.00,0.1%
"GMATB1000-SS (810312-020067 / #20067 ADJUSTABLE TIE BLOUSE (EA))",4560,"EA",1.92,8764.26,0.1%,999.00,4555440.00,0.1%
"GMBA100-AY (810312-023174 / #23174 BANDANA (3 PACK))",9720,"EA",1.26,12219.98,0.1%,999.00,9710280.00,0.2%
"GMBBKHT100-FW (810312-021637 / #21637 KEY HOLE BUTTON TUNIC)",108,"EA",3.53,381.28,0%,999.00,107892.00,0%
"GMBFL101-FW (810312-021071 / #21071 BROCADE FLEECE LEGGINGS)",48,"EA",1.70,81.44,0%,999.00,47952.00,0%
"GMBSD100-AY (810312-023426 / #23426 BUBBLE SLEEVE DUSTER)",36,"EA",4.98,179.46,0%,999.00,35964.00,0%
"GMBST1000-FW (810312-020548 / #20548 BELL SLEEVE TUNIC)",0,"EA",2.74,0.00,0%,999.00,0.00,0%
