,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"KVAT FOOD STORES",,,,,,,,,,,""
"KVAT211 (EI)",,,,,,,,,,,""
,"Invoice","10/17/2022","524057","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT211 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
,"Invoice","10/24/2022","524427","810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633)","KVAT FOOD STORES:KVAT211 (EI)","LISBT201-FW (810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633))",14,"EA",9.00,126.00,378.00
,"Invoice","10/24/2022","524427","810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633)","KVAT FOOD STORES:KVAT211 (EI)","LISBT202-FW (810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633))",22,"EA",9.00,198.00,576.00
,"Invoice","11/07/2022","527993","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT211 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,828.00
"Total KVAT211 (EI)",,,,,,,108,,,828.00,828.00
"KVAT214 (EI)",,,,,,,,,,,""
,"Invoice","10/04/2022","522799","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KVAT FOOD STORES:KVAT214 (EI)","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.00,68.00,68.00
,"Invoice","10/04/2022","522799","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KVAT FOOD STORES:KVAT214 (EI)","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.00,108.00,176.00
,"Invoice","10/04/2022","522799","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KVAT FOOD STORES:KVAT214 (EI)","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.00,16.00,192.00
,"Invoice","10/17/2022","524058","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT214 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,444.00
,"Invoice","10/19/2022","524316","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KVAT FOOD STORES:KVAT214 (EI)","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,580.50
,"Invoice","10/19/2022","524316","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KVAT FOOD STORES:KVAT214 (EI)","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,822.00
,"Invoice","10/19/2022","524316","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KVAT FOOD STORES:KVAT214 (EI)","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,864.00
,"Invoice","10/19/2022","524316","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KVAT FOOD STORES:KVAT214 (EI)","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,932.00
,"Invoice","10/19/2022","524316","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KVAT FOOD STORES:KVAT214 (EI)","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,1040.00
,"Invoice","10/19/2022","524316","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KVAT FOOD STORES:KVAT214 (EI)","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,1056.00
,"Invoice","10/24/2022","524428","810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633)","KVAT FOOD STORES:KVAT214 (EI)","LISBT201-FW (810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633))",14,"EA",9.00,126.00,1182.00
,"Invoice","10/24/2022","524428","810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633)","KVAT FOOD STORES:KVAT214 (EI)","LISBT202-FW (810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633))",22,"EA",9.00,198.00,1380.00
"Total KVAT214 (EI)",,,,,,,208,,,1380.00,1380.00
"KVAT230 (EI)",,,,,,,,,,,""
,"Credit Memo","10/16/2022","523930","810312-023884 / #23884 SUPER SOFT HOODIE","KVAT FOOD STORES:KVAT230 (EI)","GMSSH100-AY (810312-023884 / #23884 SUPER SOFT HOODIE)",-30,,10.00,-300.00,-300.00
,"Invoice","10/24/2022","524418","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KVAT FOOD STORES:KVAT230 (EI)","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.00,68.00,-232.00
,"Invoice","10/24/2022","524418","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KVAT FOOD STORES:KVAT230 (EI)","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.00,108.00,-124.00
,"Invoice","10/24/2022","524418","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KVAT FOOD STORES:KVAT230 (EI)","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.00,16.00,-108.00
,"Invoice","10/24/2022","524418","810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633)","KVAT FOOD STORES:KVAT230 (EI)","LISBT201-FW (810312-022726 / #22726 SHARK-BITE TUNIC S-M (T2633))",14,"EA",9.00,126.00,18.00
,"Invoice","10/24/2022","524418","810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633)","KVAT FOOD STORES:KVAT230 (EI)","LISBT202-FW (810312-022733 / #22733 SHARK-BITE TUNIC L-XL (T2633))",22,"EA",9.00,198.00,216.00
"Total KVAT230 (EI)",,,,,,,54,,,216.00,216.00
"KVAT233 (EI)",,,,,,,,,,,""
,"Invoice","10/10/2022","523328","810312-023501 / #23501 SOLID COTTON YOGA PANTS","KVAT FOOD STORES:KVAT233 (EI)","GMSCYP100-AY (810312-023501 / #23501 SOLID COTTON YOGA PANTS)",36,"EA",8.00,288.00,288.00
,"Invoice","10/10/2022","523328","FREIGHT","KVAT FOOD STORES:KVAT233 (EI)","C 1 (FREIGHT)",1,,288.00,288.00,576.00
,"Invoice","10/17/2022","524059","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT233 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,828.00
"Total KVAT233 (EI)",,,,,,,73,,,828.00,828.00
"KVAT2446 (EI)",,,,,,,,,,,""
,"Invoice","10/17/2022","524129","810312-023754 / #23754 PRINTED PLUSH PANTS","KVAT FOOD STORES:KVAT2446 (EI)","GMPPP300-FW (810312-023754 / #23754 PRINTED PLUSH PANTS)",36,"EA",7.00,252.00,252.00
,"Invoice","11/01/2022","527158","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KVAT FOOD STORES:KVAT2446 (EI)","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,388.50
,"Invoice","11/01/2022","527158","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KVAT FOOD STORES:KVAT2446 (EI)","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,630.00
,"Invoice","11/01/2022","527158","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KVAT FOOD STORES:KVAT2446 (EI)","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,672.00
