,"Type","Date","Num","Memo","Name","Item","Qty","U/M","Sales Price","Amount","Balance"
"KROGER CORPORATE",,,,,,,,,,,""
"KROGER LOUISVILLE",,,,,,,,,,,""
"KROLO292",,,,,,,,,,,""
,"Invoice","10/10/2022","523353","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO292","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,73.10
,"Invoice","10/10/2022","523353","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO292","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,189.20
,"Invoice","10/10/2022","523353","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO292","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,206.40
,"Invoice","11/07/2022","527963","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO292","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,279.50
,"Invoice","11/07/2022","527963","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO292","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,395.60
,"Invoice","11/07/2022","527963","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO292","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,412.80
"Total KROLO292",,,,,,,96,,,412.80,412.80
"KROLO346",,,,,,,,,,,""
,"Invoice","10/03/2022","522676","810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO346","LISSL301-AY (810312-023693 / #23693 PRINTED SUP SOFT LEG S-L (L9316))",17,"EA",4.30,73.10,73.10
,"Invoice","10/03/2022","522676","810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO346","LISSL302-AY (810312-023709 / #23709 PRINTED SUP SOFT LEG L-XL (L9316))",27,"EA",4.30,116.10,189.20
,"Invoice","10/03/2022","522676","810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO346","LISSL303-AY (810312-023716 / #23716 PRINTED SUP SOFT LEG 2XL-3XL (L9316))",4,"EA",4.30,17.20,206.40
,"Invoice","10/10/2022","523352","810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO346","LIODJ401-AY (810312-023723 / #23723 ORIGINAL DENIM JEGGING S-M (J3047))",13,"EA",10.50,136.50,342.90
,"Invoice","10/10/2022","523352","810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO346","LIODJ402-AY (810312-023730 / #23730 ORIGINAL DENIM JEGGING L-XL (J3047))",23,"EA",10.50,241.50,584.40
,"Invoice","10/10/2022","523352","810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO346","LIODJ403-AY (810312-023747 / #23747 ORIGINAL DENIM JEGGING 2XL-3XL (J3047))",4,"EA",10.50,42.00,626.40
,"Invoice","10/24/2022","524505","810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO346","LISSL201-AY (810312-023662 / #23662 SOLID SUP SOFT LEG S-L (L6286))",17,"EA",4.30,73.10,699.50
,"Invoice","10/24/2022","524505","810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO346","LISSL202-AY (810312-023679 / #23679 SOLID SUP SOFT LEG L-2XL (L6286))",27,"EA",4.30,116.10,815.60
,"Invoice","10/24/2022","524505","810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286)","KROGER CORPORATE:KROGER LOUISVILLE:KROLO346","LISSL203-AY (810312-023686 / #23686 SOLID SUP SOFT LEG 2XL-3XL (L6286))",4,"EA",4.30,17.20,832.80
